 ,Area,Mean,Min,Max,IntDen,RawIntDen
199,389,255,255,255,99195,99195
200,339,255,255,255,86445,86445
201,264,255,255,255,67320,67320
202,392,255,255,255,99960,99960
203,360,255,255,255,91800,91800
204,416,255,255,255,106080,106080
205,330,255,255,255,84150,84150
206,401,255,255,255,102255,102255
207,370,255,255,255,94350,94350
208,315,255,255,255,80325,80325
209,360,255,255,255,91800,91800
210,261,255,255,255,66555,66555
211,275,255,255,255,70125,70125
212,300,255,255,255,76500,76500
213,329,255,255,255,83895,83895
214,443,255,255,255,112965,112965
215,284,255,255,255,72420,72420
216,260,255,255,255,66300,66300
217,342,255,255,255,87210,87210
218,260,255,255,255,66300,66300
219,439,255,255,255,111945,111945
220,264,255,255,255,67320,67320
221,336,255,255,255,85680,85680
222,487,255,255,255,124185,124185
223,423,255,255,255,107865,107865
224,218,255,255,255,55590,55590
225,269,255,255,255,68595,68595
226,299,255,255,255,76245,76245
227,293,255,255,255,74715,74715
228,363,255,255,255,92565,92565
229,372,255,255,255,94860,94860
230,414,255,255,255,105570,105570
231,360,255,255,255,91800,91800
232,284,255,255,255,72420,72420
233,338,255,255,255,86190,86190
234,410,255,255,255,104550,104550
235,302,255,255,255,77010,77010
236,448,255,255,255,114240,114240
237,276,255,255,255,70380,70380
238,453,255,255,255,115515,115515
239,238,255,255,255,60690,60690
240,387,255,255,255,98685,98685
241,343,255,255,255,87465,87465
242,225,255,255,255,57375,57375
243,448,255,255,255,114240,114240
244,326,255,255,255,83130,83130
245,364,255,255,255,92820,92820
246,292,255,255,255,74460,74460
247,229,255,255,255,58395,58395
248,261,255,255,255,66555,66555
249,249,255,255,255,63495,63495
250,267,255,255,255,68085,68085
251,265,255,255,255,67575,67575
252,262,255,255,255,66810,66810
253,394,255,255,255,100470,100470
254,231,255,255,255,58905,58905
255,257,255,255,255,65535,65535
256,353,255,255,255,90015,90015
257,300,255,255,255,76500,76500
258,273,255,255,255,69615,69615
259,281,255,255,255,71655,71655
260,279,255,255,255,71145,71145
261,242,255,255,255,61710,61710
262,363,255,255,255,92565,92565
263,436,255,255,255,111180,111180
264,235,255,255,255,59925,59925
265,288,255,255,255,73440,73440
266,496,255,255,255,126480,126480
267,363,255,255,255,92565,92565
268,490,255,255,255,124950,124950
269,242,255,255,255,61710,61710
270,262,255,255,255,66810,66810
271,280,255,255,255,71400,71400
272,293,255,255,255,74715,74715
273,313,255,255,255,79815,79815
274,400,255,255,255,102000,102000
275,333,255,255,255,84915,84915
276,407,255,255,255,103785,103785
277,350,255,255,255,89250,89250
278,233,255,255,255,59415,59415
279,228,255,255,255,58140,58140
280,334,255,255,255,85170,85170
281,296,255,255,255,75480,75480
282,391,255,255,255,99705,99705
283,350,255,255,255,89250,89250
284,351,255,255,255,89505,89505
285,248,255,255,255,63240,63240
286,327,255,255,255,83385,83385
287,278,255,255,255,70890,70890
288,313,255,255,255,79815,79815
289,268,255,255,255,68340,68340
290,362,255,255,255,92310,92310
291,236,255,255,255,60180,60180
292,327,255,255,255,83385,83385
293,331,255,255,255,84405,84405
294,355,255,255,255,90525,90525
295,323,255,255,255,82365,82365
296,346,255,255,255,88230,88230
297,447,255,255,255,113985,113985
298,344,255,255,255,87720,87720
299,312,255,255,255,79560,79560
300,155,255,255,255,39525,39525
301,263,255,255,255,67065,67065
302,260,255,255,255,66300,66300
303,405,255,255,255,103275,103275
304,286,255,255,255,72930,72930
305,317,255,255,255,80835,80835
306,302,255,255,255,77010,77010
307,276,255,255,255,70380,70380
